20,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.
W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z
W100x20y100z,W100x30y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z,W100x40y100z
.,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x40y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x40y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,W100x40y100z
.,.,.,W30x100y100z,.,.,.,W30x100y100z,W30x100y100z,W30x100y100z,.,.,.,D20,.,.
.,.,.,W30x100y100z,.,.,.,W30x100y100z,W30x100y100z,W30x100y100z,.,.,.,W30x100y50z,K,.
.,.,.,D20,.,.,A2,.,.,.,.,A1,.,W30x100y50z,IW_SCALPLE,.
.,SPAWN,.,W30x100y100z,.,.,.,W30x100y100z,W30x100y100z,W30x100y100z,.,.,.,W30x100y50z,W30x100y50z,W30x100y50z
.,.,.,W30x100y100z,.,.,.,W30x100y100z,W30x100y100z,W30x100y100z,.,.,.,.,W30x100y50z,EXIT
.,.,.,W30x100y100z,.,.,.,W30x100y100z,W30x100y100z,W30x100y100z,.,.,.,.,W30x100y50z,.
.,.,.,W30x100y100z,A1,.,.,W30x100y100z,W30x40y100z,W30x40y100z,W30x100y100z,W30x100y100z,W30x100y100z,.,W30x100y50z,D20
W30x100y100z,W30x100y100z,W30x100y100z,W30x100y100z,.,.,A1,W30x40y100z,W30x40y100z,W30x40y100z,W30x40y100z,W30x40y100z,W30x100y100z,.,W30x100y50z,.
W30x100y100z,W30x100y100z,W30x100y100z,W30x100y100z,W30x100y100z,,.,W30x40y100z,W30x40y100z,W30x20y100z,W30x20y100z,W30x30y100z,W30x100y100z,.,W30x100y50z,D10
W30x100y100z,W30x100y100z,W30x100y100z,W30x100y100z,K,,,W30x100y100z,.,.,.,.,.,.,.,.
W30x100y100z,W30x100y100z,W30x100y100z,W30x100y100z,K,.,.,W30x100y100z,K,.,.,.,.,.,.,.
